"","Age","Employment.Type","GraduateOrNot","AnnualIncome","FamilyMembers","ChronicDiseases","FrequentFlyer","EverTravelledAbroad","TravelInsurance"
"1640",25,"Private Sector/Self Employed","Yes",1700000,4,0,"Yes","No",1
"1641",26,"Private Sector/Self Employed","Yes",600000,6,0,"No","No",0
"1642",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1643",31,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"1644",28,"Private Sector/Self Employed","Yes",1150000,9,0,"No","No",0
"1645",28,"Private Sector/Self Employed","Yes",1100000,7,0,"No","No",1
"1646",25,"Private Sector/Self Employed","No",1150000,3,0,"Yes","No",0
"1647",28,"Private Sector/Self Employed","Yes",1250000,3,1,"No","No",1
"1648",34,"Private Sector/Self Employed","Yes",850000,5,1,"Yes","No",0
"1649",28,"Private Sector/Self Employed","Yes",1100000,5,0,"No","No",0
"1650",28,"Private Sector/Self Employed","Yes",1150000,4,1,"No","No",0
"1651",25,"Private Sector/Self Employed","Yes",1800000,4,1,"Yes","No",1
"1652",34,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"1653",34,"Government Sector","Yes",1100000,7,1,"Yes","No",1
"1654",26,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",1
"1655",25,"Private Sector/Self Employed","Yes",1400000,5,1,"Yes","Yes",1
"1657",26,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"1658",28,"Private Sector/Self Employed","Yes",550000,4,0,"No","No",0
"1659",35,"Private Sector/Self Employed","No",950000,6,0,"No","Yes",0
"1660",29,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"1663",28,"Private Sector/Self Employed","Yes",550000,6,0,"Yes","No",0
"1664",28,"Private Sector/Self Employed","Yes",1250000,3,0,"No","No",0
"1665",25,"Private Sector/Self Employed","No",1150000,4,0,"Yes","No",0
"1666",31,"Government Sector","No",300000,5,0,"No","No",0
"1667",34,"Private Sector/Self Employed","No",1300000,6,0,"No","No",1
"1668",28,"Private Sector/Self Employed","Yes",750000,5,0,"No","No",0
"1669",29,"Private Sector/Self Employed","Yes",350000,9,0,"No","No",0
"1670",26,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",1
"1671",34,"Private Sector/Self Employed","Yes",1050000,8,1,"No","No",1
"1672",29,"Private Sector/Self Employed","Yes",1350000,8,0,"No","Yes",1
"1673",28,"Private Sector/Self Employed","Yes",1350000,5,0,"No","Yes",1
"1674",28,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",0
"1675",34,"Private Sector/Self Employed","No",950000,3,0,"Yes","No",0
"1676",33,"Private Sector/Self Employed","Yes",750000,7,1,"No","No",1
"1677",27,"Government Sector","Yes",1050000,7,0,"No","No",1
"1678",28,"Government Sector","Yes",300000,3,1,"No","No",0
"1679",31,"Private Sector/Self Employed","Yes",1350000,7,0,"Yes","Yes",1
"1680",28,"Private Sector/Self Employed","Yes",550000,4,0,"No","No",0
"1681",31,"Government Sector","Yes",1300000,8,0,"No","No",0
"1683",30,"Private Sector/Self Employed","No",800000,3,0,"No","No",0
"1684",28,"Private Sector/Self Employed","Yes",800000,4,0,"Yes","No",0
"1685",26,"Private Sector/Self Employed","Yes",1400000,6,1,"No","Yes",1
"1686",28,"Private Sector/Self Employed","Yes",750000,5,1,"Yes","No",0
"1687",28,"Private Sector/Self Employed","Yes",800000,6,0,"No","Yes",0
"1689",31,"Private Sector/Self Employed","Yes",1250000,8,0,"No","No",0
"1690",27,"Government Sector","Yes",500000,5,0,"No","No",0
"1691",35,"Private Sector/Self Employed","No",800000,6,1,"No","Yes",1
"1692",26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1693",29,"Private Sector/Self Employed","Yes",1100000,6,0,"Yes","No",0
"1694",31,"Government Sector","Yes",1300000,2,0,"Yes","No",1
"1695",31,"Government Sector","Yes",400000,5,0,"No","No",0
"1696",35,"Government Sector","Yes",1100000,5,0,"No","No",0
"1697",28,"Private Sector/Self Employed","Yes",800000,2,1,"No","No",0
"1698",29,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",0
"1699",29,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1700",28,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",1
"1703",27,"Government Sector","Yes",1050000,2,0,"No","No",0
"1704",31,"Private Sector/Self Employed","Yes",900000,5,1,"No","No",0
"1705",26,"Private Sector/Self Employed","Yes",1400000,3,1,"No","Yes",0
"1706",28,"Government Sector","Yes",300000,8,0,"No","No",0
"1707",33,"Government Sector","Yes",400000,6,0,"No","No",0
"1708",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"1709",26,"Private Sector/Self Employed","Yes",1250000,3,1,"No","No",1
"1710",28,"Private Sector/Self Employed","Yes",1200000,6,1,"No","No",0
"1711",31,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"1712",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1713",28,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1714",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",0
"1715",27,"Government Sector","Yes",500000,2,0,"No","No",0
"1716",28,"Private Sector/Self Employed","Yes",800000,6,1,"No","No",0
"1717",31,"Private Sector/Self Employed","Yes",1250000,3,0,"No","No",0
"1718",34,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes",1
"1719",34,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",1
"1720",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"1721",29,"Private Sector/Self Employed","Yes",1100000,2,0,"No","No",0
"1722",30,"Private Sector/Self Employed","No",1450000,2,1,"Yes","Yes",1
"1723",34,"Private Sector/Self Employed","Yes",1500000,3,1,"Yes","Yes",1
"1724",32,"Government Sector","Yes",800000,6,0,"Yes","No",0
"1725",28,"Private Sector/Self Employed","Yes",900000,4,0,"Yes","No",1
"1726",28,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",0
"1727",34,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"1728",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1730",35,"Government Sector","Yes",900000,7,0,"No","No",1
"1731",31,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1732",31,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1733",29,"Private Sector/Self Employed","Yes",1200000,3,0,"No","Yes",0
"1734",31,"Government Sector","No",300000,5,0,"No","No",0
"1735",34,"Private Sector/Self Employed","Yes",1050000,4,1,"No","No",0
"1736",34,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",0
"1737",33,"Private Sector/Self Employed","Yes",750000,8,1,"No","No",1
"1738",27,"Government Sector","Yes",1050000,7,0,"No","No",0
"1739",29,"Private Sector/Self Employed","Yes",1200000,8,0,"Yes","No",0
"1740",29,"Private Sector/Self Employed","Yes",500000,2,0,"No","No",0
"1741",26,"Private Sector/Self Employed","Yes",600000,7,0,"No","No",0
"1742",28,"Private Sector/Self Employed","Yes",800000,3,0,"No","No",0
"1743",28,"Private Sector/Self Employed","Yes",800000,3,0,"No","No",0
"1744",35,"Private Sector/Self Employed","No",950000,4,0,"No","No",1
"1745",28,"Private Sector/Self Employed","No",550000,6,1,"No","No",0
"1746",34,"Private Sector/Self Employed","Yes",850000,4,0,"No","Yes",0
"1747",31,"Government Sector","Yes",400000,2,0,"No","No",0
"1748",33,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"1749",28,"Private Sector/Self Employed","Yes",1100000,4,0,"Yes","No",0
"1750",33,"Government Sector","Yes",1100000,4,1,"No","Yes",0
"1751",28,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"1752",28,"Government Sector","Yes",300000,5,0,"No","No",0
"1753",26,"Government Sector","Yes",500000,5,1,"No","No",0
"1754",33,"Government Sector","Yes",600000,7,0,"No","No",1
"1755",30,"Private Sector/Self Employed","No",1450000,4,1,"Yes","Yes",1
"1756",34,"Private Sector/Self Employed","Yes",850000,5,1,"No","No",0
"1757",29,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",1
"1758",25,"Private Sector/Self Employed","No",1150000,7,0,"No","No",0
"1759",26,"Government Sector","Yes",500000,6,0,"No","No",0
"1760",25,"Government Sector","Yes",750000,2,0,"Yes","No",0
"1761",34,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"1762",30,"Private Sector/Self Employed","No",500000,7,1,"No","No",0
"1763",28,"Private Sector/Self Employed","Yes",1300000,5,1,"Yes","No",0
"1764",29,"Private Sector/Self Employed","Yes",1050000,3,0,"No","No",0
"1765",32,"Government Sector","Yes",900000,5,0,"Yes","No",0
"1766",34,"Private Sector/Self Employed","Yes",1300000,6,1,"No","No",1
"1767",26,"Government Sector","Yes",550000,4,0,"No","No",0
"1768",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",1
"1769",28,"Private Sector/Self Employed","Yes",650000,3,0,"No","No",0
"1770",29,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",0
"1771",34,"Private Sector/Self Employed","Yes",1050000,4,1,"No","No",0
"1772",26,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1773",28,"Private Sector/Self Employed","Yes",1150000,8,0,"Yes","No",0
"1774",28,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1775",32,"Government Sector","Yes",350000,5,0,"No","No",0
"1776",33,"Government Sector","Yes",1100000,8,0,"No","No",1
"1777",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1778",34,"Private Sector/Self Employed","Yes",700000,4,1,"Yes","No",0
"1779",28,"Private Sector/Self Employed","Yes",750000,4,0,"Yes","No",0
"1780",25,"Private Sector/Self Employed","No",1700000,6,0,"Yes","No",1
"1781",31,"Private Sector/Self Employed","Yes",950000,3,0,"Yes","No",0
"1782",29,"Private Sector/Self Employed","Yes",600000,5,1,"No","No",0
"1784",29,"Private Sector/Self Employed","Yes",1200000,9,0,"No","No",1
"1785",34,"Private Sector/Self Employed","Yes",700000,4,0,"No","No",1
"1786",25,"Private Sector/Self Employed","No",1150000,2,0,"No","Yes",0
"1787",31,"Private Sector/Self Employed","Yes",950000,4,0,"No","No",0
"1788",34,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1789",26,"Private Sector/Self Employed","Yes",1750000,3,0,"No","No",0
"1790",28,"Private Sector/Self Employed","Yes",1150000,3,1,"No","No",0
"1791",28,"Private Sector/Self Employed","Yes",1150000,4,0,"No","No",0
"1792",28,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1793",34,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"1794",34,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"1795",28,"Private Sector/Self Employed","Yes",1450000,5,0,"Yes","Yes",1
"1796",27,"Government Sector","Yes",850000,4,0,"No","No",0
"1797",28,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",0
"1798",28,"Private Sector/Self Employed","Yes",800000,3,1,"No","No",0
"1799",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"1800",26,"Government Sector","Yes",1450000,3,0,"Yes","Yes",1
"1801",25,"Government Sector","Yes",750000,3,1,"No","No",0
"1802",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1803",31,"Government Sector","Yes",400000,6,0,"No","No",0
"1804",33,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1806",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1807",26,"Government Sector","Yes",550000,4,0,"No","No",1
"1808",26,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"1809",28,"Private Sector/Self Employed","Yes",500000,4,1,"No","No",0
"1810",28,"Government Sector","Yes",300000,6,1,"No","No",0
"1811",27,"Private Sector/Self Employed","No",350000,4,0,"No","No",0
"1812",29,"Private Sector/Self Employed","Yes",1100000,8,0,"No","No",0
"1813",28,"Private Sector/Self Employed","Yes",800000,6,0,"No","Yes",0
"1814",29,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"1816",33,"Private Sector/Self Employed","Yes",550000,3,1,"No","No",1
"1817",34,"Private Sector/Self Employed","Yes",1000000,3,0,"Yes","No",0
"1818",29,"Private Sector/Self Employed","Yes",1050000,7,0,"Yes","No",1
"1819",26,"Government Sector","Yes",500000,8,0,"No","No",0
"1822",25,"Private Sector/Self Employed","No",1350000,5,1,"No","Yes",1
"1823",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"1824",25,"Private Sector/Self Employed","Yes",1800000,6,0,"Yes","No",1
"1826",29,"Private Sector/Self Employed","Yes",600000,6,0,"No","No",0
"1827",29,"Private Sector/Self Employed","Yes",1200000,6,0,"No","No",0
"1828",32,"Government Sector","Yes",800000,5,1,"Yes","No",1
"1829",28,"Government Sector","Yes",300000,3,0,"No","No",0
"1830",31,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"1831",25,"Private Sector/Self Employed","Yes",1700000,6,0,"Yes","No",1
"1832",31,"Government Sector","No",350000,4,1,"No","No",0
"1833",29,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",0
"1834",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1835",31,"Private Sector/Self Employed","Yes",1100000,4,0,"Yes","No",0
"1836",31,"Government Sector","No",400000,5,0,"No","No",0
"1837",33,"Government Sector","Yes",800000,4,0,"No","No",0
"1838",34,"Private Sector/Self Employed","Yes",1300000,5,0,"No","Yes",0
"1839",28,"Private Sector/Self Employed","Yes",700000,4,1,"No","Yes",0
"1840",32,"Government Sector","Yes",350000,3,0,"No","Yes",0
"1841",28,"Private Sector/Self Employed","Yes",900000,8,0,"No","No",0
"1842",32,"Government Sector","Yes",350000,3,0,"No","Yes",0
"1843",34,"Private Sector/Self Employed","Yes",700000,4,1,"Yes","No",0
"1844",28,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1845",27,"Private Sector/Self Employed","No",350000,5,1,"No","No",0
"1846",28,"Government Sector","Yes",300000,5,0,"No","No",0
"1847",32,"Government Sector","Yes",850000,4,0,"No","No",0
"1848",28,"Government Sector","Yes",1200000,3,0,"No","No",1
"1849",31,"Government Sector","No",400000,7,1,"No","No",0
"1850",28,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"1851",28,"Government Sector","Yes",300000,5,0,"No","No",0
"1852",28,"Private Sector/Self Employed","No",550000,6,0,"No","No",1
"1853",28,"Private Sector/Self Employed","Yes",1200000,6,1,"No","No",0
"1854",34,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"1855",34,"Government Sector","Yes",1300000,5,0,"Yes","No",1
"1856",27,"Private Sector/Self Employed","No",1550000,4,0,"Yes","No",1
"1857",26,"Private Sector/Self Employed","Yes",600000,3,0,"Yes","No",0
"1858",27,"Government Sector","Yes",900000,4,0,"No","No",0
"1859",30,"Private Sector/Self Employed","No",750000,3,1,"No","No",1
"1860",32,"Government Sector","Yes",800000,3,1,"No","No",0
"1861",28,"Private Sector/Self Employed","Yes",550000,8,0,"No","No",0
"1862",34,"Private Sector/Self Employed","Yes",1050000,5,0,"Yes","No",0
"1863",28,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",0
"1864",34,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1865",31,"Government Sector","Yes",400000,6,1,"No","No",1
"1866",26,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"1867",28,"Government Sector","Yes",300000,7,1,"No","No",0
"1868",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",1
"1869",25,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1870",31,"Government Sector","Yes",1500000,2,0,"Yes","Yes",1
"1871",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"1872",34,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"1873",29,"Private Sector/Self Employed","Yes",1050000,7,0,"No","No",0
"1874",34,"Private Sector/Self Employed","Yes",1000000,3,0,"No","No",0
"1875",29,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"1876",26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1877",34,"Private Sector/Self Employed","Yes",1500000,4,1,"Yes","Yes",1
"1878",28,"Private Sector/Self Employed","Yes",1100000,7,0,"Yes","No",0
"1879",28,"Private Sector/Self Employed","Yes",700000,4,0,"No","No",1
"1880",27,"Private Sector/Self Employed","No",350000,2,0,"No","No",0
"1881",27,"Government Sector","Yes",1050000,4,1,"No","No",1
"1883",31,"Private Sector/Self Employed","Yes",1350000,9,1,"No","Yes",1
"1884",27,"Government Sector","Yes",500000,4,0,"No","No",0
"1885",28,"Government Sector","Yes",1200000,4,0,"No","No",1
"1886",35,"Government Sector","Yes",1100000,3,0,"No","No",0
"1887",32,"Government Sector","Yes",350000,6,0,"No","No",0
"1888",31,"Private Sector/Self Employed","Yes",900000,5,0,"No","No",0
"1889",26,"Private Sector/Self Employed","Yes",750000,5,1,"No","No",0
"1890",31,"Government Sector","Yes",1300000,6,0,"No","No",0
"1891",28,"Government Sector","Yes",1200000,5,0,"No","No",0
"1892",28,"Private Sector/Self Employed","Yes",800000,7,1,"No","No",1
"1893",28,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"1894",32,"Government Sector","Yes",850000,4,1,"No","No",0
"1895",28,"Private Sector/Self Employed","Yes",700000,4,1,"No","No",0
"1896",26,"Government Sector","Yes",500000,3,0,"No","No",0
"1897",31,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1898",35,"Government Sector","Yes",1100000,4,0,"Yes","No",1
"1899",25,"Private Sector/Self Employed","No",600000,4,1,"Yes","No",0
"1900",31,"Private Sector/Self Employed","Yes",1250000,4,1,"No","No",0
"1901",27,"Private Sector/Self Employed","No",1000000,3,1,"No","No",0
"1903",33,"Government Sector","Yes",400000,2,0,"No","No",0
"1904",33,"Government Sector","Yes",650000,4,0,"No","Yes",1
"1905",28,"Private Sector/Self Employed","Yes",700000,7,0,"Yes","No",0
"1907",28,"Private Sector/Self Employed","Yes",1450000,6,0,"Yes","Yes",1
"1908",28,"Private Sector/Self Employed","Yes",600000,5,0,"Yes","No",1
"1909",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",0
"1910",28,"Government Sector","No",300000,4,1,"No","No",0
"1911",28,"Private Sector/Self Employed","Yes",1150000,7,0,"No","No",0
"1912",27,"Private Sector/Self Employed","No",1550000,6,1,"Yes","No",1
"1913",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1914",33,"Government Sector","Yes",1100000,5,0,"No","No",0
"1915",30,"Private Sector/Self Employed","No",550000,6,0,"No","No",0
"1916",28,"Private Sector/Self Employed","Yes",800000,5,0,"No","No",0
"1917",28,"Government Sector","Yes",1100000,6,1,"No","No",0
"1918",34,"Private Sector/Self Employed","No",1300000,4,0,"No","No",1
"1920",28,"Government Sector","Yes",300000,6,0,"No","No",0
"1921",32,"Government Sector","Yes",800000,5,0,"No","No",0
"1922",31,"Government Sector","No",300000,5,0,"No","No",0
"1923",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1924",26,"Private Sector/Self Employed","Yes",750000,3,0,"No","No",0
"1925",33,"Private Sector/Self Employed","Yes",750000,3,1,"No","No",0
"1926",33,"Government Sector","Yes",400000,5,0,"No","No",0
"1927",25,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1928",34,"Private Sector/Self Employed","Yes",1000000,4,0,"No","No",1
"1929",34,"Private Sector/Self Employed","Yes",1500000,7,0,"Yes","Yes",1
"1930",28,"Government Sector","Yes",600000,7,1,"No","No",1
"1931",31,"Government Sector","Yes",1200000,7,0,"No","No",0
"1932",34,"Private Sector/Self Employed","Yes",1300000,4,1,"No","No",0
"1933",35,"Private Sector/Self Employed","No",800000,4,1,"No","No",0
"1934",28,"Private Sector/Self Employed","Yes",550000,4,1,"Yes","No",0
"1935",25,"Private Sector/Self Employed","No",1350000,3,1,"Yes","Yes",0
"1936",33,"Government Sector","Yes",1000000,6,0,"Yes","No",0
"1937",33,"Private Sector/Self Employed","Yes",1500000,7,0,"Yes","Yes",1
"1938",34,"Private Sector/Self Employed","Yes",500000,5,0,"Yes","Yes",0
"1939",34,"Private Sector/Self Employed","No",1400000,4,0,"No","Yes",0
"1940",27,"Private Sector/Self Employed","No",450000,8,0,"No","No",0
"1941",25,"Private Sector/Self Employed","Yes",1400000,5,0,"Yes","Yes",0
"1942",27,"Private Sector/Self Employed","No",450000,3,0,"No","No",1
"1943",28,"Private Sector/Self Employed","Yes",900000,5,0,"No","No",0
"1944",29,"Private Sector/Self Employed","Yes",1050000,2,0,"No","No",0
"1945",34,"Private Sector/Self Employed","Yes",1500000,4,1,"Yes","Yes",1
"1946",28,"Private Sector/Self Employed","No",550000,4,1,"No","Yes",1
"1947",32,"Government Sector","Yes",850000,7,0,"Yes","Yes",1
"1948",32,"Government Sector","Yes",900000,2,0,"Yes","No",0
"1949",35,"Private Sector/Self Employed","No",800000,6,0,"Yes","No",1
"1950",34,"Private Sector/Self Employed","Yes",700000,6,0,"No","No",1
"1951",28,"Private Sector/Self Employed","Yes",1250000,6,0,"No","Yes",0
"1952",27,"Private Sector/Self Employed","No",600000,4,0,"No","No",0
"1953",31,"Government Sector","Yes",1500000,4,0,"Yes","Yes",1
"1954",34,"Government Sector","Yes",1300000,7,0,"No","No",1
"1955",30,"Private Sector/Self Employed","No",550000,6,1,"No","No",0
"1956",33,"Government Sector","Yes",1750000,4,0,"No","No",0
"1957",32,"Government Sector","Yes",350000,3,1,"No","Yes",1
"1958",31,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"1959",31,"Government Sector","Yes",1300000,3,1,"No","No",0
"1960",28,"Private Sector/Self Employed","No",550000,6,0,"No","No",0
"1961",28,"Government Sector","Yes",300000,6,0,"No","No",1
"1962",26,"Government Sector","Yes",500000,3,0,"No","No",0
"1963",25,"Private Sector/Self Employed","No",1150000,7,0,"No","No",0
"1964",33,"Government Sector","Yes",1100000,4,0,"No","No",1
"1965",28,"Government Sector","Yes",1100000,4,0,"No","No",0
"1966",30,"Private Sector/Self Employed","No",550000,3,0,"No","No",1
"1967",34,"Private Sector/Self Employed","Yes",700000,3,0,"Yes","No",0
"1968",34,"Private Sector/Self Employed","Yes",700000,3,1,"No","No",0
"1969",28,"Government Sector","Yes",300000,5,1,"No","No",0
"1970",31,"Private Sector/Self Employed","Yes",500000,4,1,"No","No",0
"1971",29,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",1
"1973",28,"Private Sector/Self Employed","Yes",800000,5,1,"No","No",0
"1974",31,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes",1
"1975",28,"Private Sector/Self Employed","Yes",1200000,6,0,"Yes","No",0
"1976",26,"Private Sector/Self Employed","Yes",1400000,9,0,"No","Yes",1
"1977",32,"Government Sector","Yes",900000,6,0,"No","No",0
"1978",25,"Private Sector/Self Employed","No",1350000,6,0,"No","Yes",1
"1979",34,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",1
"1980",28,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"1981",25,"Private Sector/Self Employed","No",1150000,5,1,"No","No",0
"1982",27,"Government Sector","Yes",850000,3,0,"No","No",1
"1983",33,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"1984",28,"Private Sector/Self Employed","Yes",1750000,5,1,"No","Yes",0
"1985",28,"Private Sector/Self Employed","Yes",1150000,6,1,"No","No",0
"1986",34,"Private Sector/Self Employed","Yes",1000000,6,0,"Yes","Yes",1
"1987",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
